Id,SalePrice
1461,10615571.358086787
1462,799324.9482483284
1463,2879866.4033984696
1464,2746733.110531364
1465,4756868.318139001
1466,1952397.18595478
1467,3454284.1018154216
1468,1799894.8347438804
1469,4516789.972521939
1470,6692508.885054837
1471,4629320.281811915
1472,1187528.5738955496
1473,1857555.0065179586
1474,2751293.002156017
1475,2662597.947967256
1476,5324308.328504055
1477,10742410.809252335
1478,7458126.964540403
1479,5960906.820201736
1480,7953114.319800592
1481,5759432.10468543
1482,3975677.1276802314
1483,3108895.670753541
1484,3949497.2734913104
1485,2297277.2633789084
1486,1509774.3408323114
1487,8856886.15470317
1488,10774398.670674572
1489,8299822.5853457395
1490,4443668.396849164
1491,2793968.2356885145
1492,4318225.498072083
1493,3041859.759276279
1494,5457810.865375315
1495,5009600.70819117
1496,3938004.1471159854
1497,4728420.1444106735
1498,4535335.964549696
1499,4535335.964549696
1500,4391682.413564648
1501,2522491.161251238
1502,5320947.698528837
1503,10927430.209142052
1504,4143149.5421427987
1505,5668745.020266359
1506,3158325.5955345198
1507,2897314.6405339153
1508,5657156.272202694
1509,2021067.3068203784
1510,4635447.009869414
1511,4997679.402666423
1512,4064845.0301744747
1513,2270756.385902841
1514,-6825853.080600807
1515,-1976311.5833477809
1516,2943669.696570624
1517,1648953.1058478502
1518,4839824.635758065
1519,6181801.244241054
1520,1454027.2733300605
1521,1283603.783948207
1522,2295777.8695413875
1523,-209959.22547223355
1524,1959415.7898047694
1525,2068997.7450665834
1526,1210379.0029021807
1527,9218118.650457714
1528,569995.4215015133
1529,4743436.2574483305
1530,3023485.923541046
1531,-2660805.5609326824
1532,-3707964.349498494
1533,5366397.945521112
1534,-313298.8690788125
1535,-1826913.7374075486
1536,1178552.7788111938
1537,11838184.091832845
1538,-633252.8630302188
1539,3099667.7964111273
1540,-8963854.624114359
1541,6267013.1713712355
1542,644007.6956231638
1543,-2100054.1993295946
1544,846353.2816773125
1545,149837.14969060262
1546,6428181.336622518
1547,-1112202.178443812
1548,422982.7897826533
1549,7965540.033564906
1550,3212239.42687555
1551,1361005.2203767977
1552,3295671.5329620945
1553,-6206092.848900823
1554,-1777692.6344912166
1555,466261.41287566227
1556,-1375225.3523698293
1557,-5512827.664288961
1558,824713.1476365163
1559,-7489834.541603817
1560,2056067.572314793
1561,-7235482.417936375
1562,4538043.052370456
1563,2009003.2358902942
1564,6040290.615473966
1565,3584260.3400080376
1566,7528275.873138555
1567,5539353.320759933
1568,2261674.7563580596
1569,2923759.057270169
1570,4812088.00950615
1571,-2012906.4719820146
1572,2465284.444665517
1573,5139939.89106565
1574,4647295.605434173
1575,4581313.516117523
1576,12573639.41513961
1577,7100499.5206794245
1578,3648100.5277300333
1579,7433232.645075665
1580,3228317.359516743
1581,1914603.8504612965
1582,5920588.022363125
1583,8684435.537284346
1584,3712147.434986686
1585,4788803.171370159
1586,2116246.4136801823
1587,2263386.1732099634
1588,1788706.6545802725
1589,4864958.044427247
1590,2493035.9049685854
1591,-3802457.7808545674
1592,-79482.2536225238
1593,4349791.079296977
1594,-10549064.235654917
1595,-6623013.636512162
1596,-2414990.7955217664
1597,741751.4909661848
1598,2612804.6265400597
1599,7510765.016323597
1600,5592417.508966769
1601,1732364.5066106885
1602,7727237.5859627705
